Title,Abstract,Authors,Affiliations
Learning Multi-Object Dense Descriptor for Autonomous Goal-Conditioned Grasping,"In a goal-conditioned grasping task, a robot is asked to grasp the objects designated by a user. Existing methods for goal-conditioned grasping either can only handle relatively simple scenes or require extra user annotations. This paper proposes an autonomous method to enable the grasping of target object in a challenging yet general scene that contains multiple objects of different classes. It can effectively learn a dense descriptor and integrate it with a newly designed grasp affordance model. The proposed method is a self-supervised pipeline trained without any human supervision or robotic sampling. We validate our method via both simulated and real-world experiments while the training relies only on a variety of synthetic data, demonstrating a good generalization capability.
                           ","['Yang, Shuo', 'Zhang, Wei', 'Song, Ran', 'Cheng, Jiyu', 'Li, Yibin']","['Shandong University', 'Shandong University', 'Shandong University', 'Shandong University', 'Shandong University']"
Learning Agile Locomotion Skills with a Mentor,"Developing agile behaviors for legged robots remains a challenging problem. While deep reinforcement learning is a promising approach, learning truly agile behaviors typically requires tedious reward shaping and careful curriculum design. We formulate agile locomotion as a multi-stage learning problem in which a mentor guides the agent throughout the training. The mentor is optimized to place a checkpoint to guide the movement of the robot's center of mass while the student (i.e. the robot) learns to reach these checkpoints. Once the student can solve the task, we teach the student to perform the task without the mentor. We evaluate our proposed learning system with a simulated quadruped robot on a course consisting of randomly generated gaps and hurdles. Our method significantly outperforms a single-stage RL baseline without a mentor, and the quadruped robot can agilely run and jump across gaps and obstacles. Finally, we present a detailed analysis of the learned behaviors' feasibility and efficiency.
                           ","['Iscen, Atil', 'Yu, George', 'Escontrela, Alejandro', 'Jain, Deepali', 'Tan, Jie', 'Caluwaerts, Ken']","['Google', 'Google', 'Google', 'Robotics at Google', 'Google', 'Google']"
Multimodal Safety-Critical Scenarios Generation for Decision-Making Algorithms Evaluation,"Abstract¡ªExisting neural network-based autonomous systems are shown to be vulnerable against adversarial attacks, therefore sophisticated evaluation of their robustness is of great importance. However, evaluating the robustness under the worst-case scenarios based on known attacks is not comprehensive, not to mention that some of them even rarely occur in the real world. Also, the distribution of safety-critical data is usually multimodal, while most traditional attacks and evaluation methods focus on a single modality. To solve the above challenges, we propose a flow-based multimodal safety-critical scenario generator for evaluating decision-making algorithms. The proposed generative model is optimized with weighted likelihood maximization and a gradient-based sampling procedure is integrated to improve the sampling efficiency. The safety-critical scenarios are generated by efficiently querying the task algorithms and a simulator. Experiments on a self-driving task demonstrate our advantages in terms of testing efficiency and multimodal modeling capability. We evaluate six Reinforcement Learning algorithms with our generated traffic scenarios and provide empirical conclusions about their robustness.
                           ","['Ding, Wenhao', 'Chen, Baiming', 'Li, Bo', 'Kim, Ji Eun', 'Zhao, Ding']","['Carnegie Mellon University', 'Tsinghua University', 'University of Illinois at Urbana-Champaign', 'Bosch Research and Technology Center', 'Carnegie Mellon University']"
Recovery RL: Safe Reinforcement Learning with Learned Recovery Zones,"Safety remains a central obstacle preventing widespread use of RL in the real world: learning new tasks in uncertain environments requires extensive exploration, but safety requires limiting exploration. We propose Recovery RL, an algorithm which navigates this tradeoff by (1) leveraging offline data to learn about constraint violating zones before policy learning and (2) separating the goals of improving task performance and constraint satisfaction across two policies: a task policy that only optimizes the task reward and a recovery policy that guides the agent to safety when constraint violation is likely. We evaluate Recovery RL on 6 simulation domains, including two contact-rich manipulation tasks and an image-based navigation task, and an image-based obstacle avoidance task on a physical robot. We compare Recovery RL to 5 prior safe RL methods which jointly optimize for task performance and safety via constrained optimization or reward shaping and find that Recovery RL outperforms the next best prior method across all domains. Results suggest that Recovery RL trades off constraint violations and task successes 2 - 20 times more efficiently in simulation domains and 3 times more efficiently in physical experiments. See https://tinyurl.com/rl-recovery for videos and supplementary material.
                           ","['Balakrishna, Ashwin', 'Thananjeyan, Brijen', 'Nair, Suraj', 'Luo, Michael', 'Srinivasan, Krishnan', 'Hwang, Minho', 'Gonzalez, Joseph E.', 'Ibarz, Julian', 'Finn, Chelsea', 'Goldberg, Ken']","['University of California, Berkeley', 'UC Berkeley', 'Stanford University', 'UC Berkeley', 'Stanford University', 'University of California Berkeley', 'UC Berkeley', 'Google Inc', 'Stanford University', 'UC Berkeley']"
Learning Shape Control of Elastoplastic Deformable Linear Objects,"Deformable object manipulation tasks have long been regarded as challenging robotic problems. However, until recently very little work has been done on the subject, with most robotic manipulation methods being developed for rigid objects. Deformable objects are more difficult to model and simulate, which has limited the use of model-free Reinforcement Learning (RL) strategies, due to their need for large amounts of data that can only be satisfied in simulation. This paper proposes a new shape control task for Deformable Linear Objects (DLOs). More notably, we present the first study on the effects of elastoplastic properties on this type of problem. Objects with elastoplasticity such as metal wires, are found in various applications and are challenging to manipulate due to their nonlinear behavior. We first highlight the challenges of solving such a manipulation task from an RL perspective, particularly in defining the reward. Then, based on concepts from differential geometry, we propose an intrinsic shape representation using discrete curvature and torsion. Finally, we show through an empirical study that in order to successfully solve the proposed task using Deep Deterministic Policy Gradient (DDPG), the reward needs to include intrinsic information about the shape of the DLO.
                           ","['Laezza, Rita', 'Karayiannidis, Yiannis']","['Chalmers University of Technology', 'Chalmers University of Technology & KTH Royal Institute of Techn']"
DeepQ Stepper: A Framework for Reactive Dynamic Walking on Uneven Terrain,"Reactive stepping and push recovery for biped robots is often restricted to flat terrains because of the difficulty in computing capture regions for nonlinear dynamic models. In this paper, we address this limitation by proposing a novel 3D reactive stepper, the DeepQ stepper, that can approximately learn the 3D capture regions of both simplified and full robot dynamic models using reinforcement learning, which can then be used to find optimal steps. The stepper can take into account the entire dynamics of the robot, ignored in most reactive steppers, leading to a significant improvement in performance. The DeepQ stepper can handle nonconvex terrain with obstacles, walk on restricted surfaces like stepping stones while tracking different velocities, and recover from external disturbances for a constant low computational cost.
                           ","['Meduri, Avadesh', 'Khadiv, Majid', 'Righetti, Ludovic']","['New York University', 'Max Planck Institute for Intelligent Systems', 'New York University']"
Model-Free Reinforcement Learning for Stochastic Games with Linear Temporal Logic Objectives,"We study synthesis of control strategies from linear temporal logic (LTL) objectives in unknown environments. We model this problem as a turn-based zero-sum stochastic game between the controller and the environment, where the transition probabilities and the model topology are fully unknown. The winning condition for the controller in this game is the satisfaction of the given LTL specification, which can be captured by the acceptance condition of a deterministic Rabin automaton (DRA) directly derived from the LTL specification. We introduce a model-free reinforcement learning (RL) methodology to find a strategy that maximizes the probability of satisfying a given LTL specification when the Rabin condition of the derived DRA has a single accepting pair. We then generalize this approach to any LTL formulas, for which the Rabin accepting condition may have more than one pairs, providing a lower bound on the satisfaction probability. Finally, we show applicability of our RL method on two planning case studies.
                           ","['Bozkurt, Alper Kamil', 'Wang, Yu', 'Zavlanos, Michael M.', 'Pajic, Miroslav']","['Duke University', 'Duke University', 'Duke University', 'Duke University']"
Secure Planning against Stealthy Attacks Via Model-Free Reinforcement Learning,"We consider the problem of security-aware planning in an unknown stochastic environment, in the presence of attacks on control signals (i.e., actuators) of the robot. We model the attacker as an agent who has the full knowledge of the controller as well as the employed intrusion-detection system and who wants to prevent the controller from performing tasks while staying stealthy. We formulate the problem as a stochastic game between the attacker and the controller and present an approach to express the objective of such an agent and the controller as a combined linear temporal logic (LTL) formula. We then show that the planning problem, described formally as the problem of satisfying an LTL formula in a stochastic game, can be solved via model-free reinforcement learning when the environment is completely unknown. Finally, we illustrate and evaluate our methods on two robotic planning case studies.
                           ","['Bozkurt, Alper Kamil', 'Wang, Yu', 'Pajic, Miroslav']","['Duke University', 'Duke University', 'Duke University']"
Deep Reinforcement Learning Framework for Underwater Locomotion of Soft Robot,"Soft robotics is an emerging technology with excellent application prospects. However, due to the inherent compliance of the materials used to build soft robots, it is extremely complicated to control soft robots accurately. In this paper, we introduce a data-based control framework for solving the soft robot underwater locomotion problem using deep reinforcement learning (DRL). We first built a soft robot that can swim based on the dielectric elastomer actuator (DEA). We then modeled it in a simulation for the purpose of training the neural network and tested the performance of the control framework through real experiments on the robot. The framework includes the following: a simulation method for the soft robot that can be used to collect data for training the neural network, the neural network controller of the swimming robot trained in the simulation environment. We confirmed the effectiveness of the learning method for the soft swimming robot in the simulation environment by allowing the robot to learn how to move from a random initial state to a specific direction. After obtaining the trained neural network through the simulation, we deployed it on the real robot and tested the performance of the control framework. The soft robot successfully achieved the goal of moving in a straight line in disturbed water. The experimental results suggest the potential of using deep reinforcement learning to improve the locomotion ability of mobile soft robots.
                           ","['Li, Guanda', 'Shintake, Jun', 'Hayashibe, Mitsuhiro']","['Tohoku University', 'University of Electro-Communications', 'Tohoku University']"
Quantification of Joint Redundancy Considering Dynamic Feasibility Using Deep Reinforcement Learning,"The robotic joint redundancy for executing a task and the optimal usage of robotic joints given the redundant degrees of freedom are crucial for the performance of a robot. It is therefore of interest to quantify the joint redundancy to better understand the robotic dexterity considering the dynamic feasibility. To this end, model-based approaches have been among the most commonly used methods to quantify the joint redundancy of simple robots analytically. However, this classical approach fails when applied to non-conventional complex robots. In this study, we propose a new method based on a deep reinforcement learning-derived metric, the synergy exploration area (SEA) metric, for the quantification of redundancy with a given dynamic environment. We conducted various experiments with different robotic structures for different tasks, ranging from simple robotic arm manipulation to more complex robotic locomotion. The experimental results show that the SEA metric can effectively quantify the relative joint redundancy over different robotic structures with varying degrees of freedom under unknown dynamic situations. We further demonstrate the possibility of using the SEA metric to evaluate the optimality of a robotic structure for a given task.
                           ","['Chai, Jiazheng', 'Hayashibe, Mitsuhiro']","['Tohoku University', 'Tohoku University']"
Data-Efficient Learning for Complex and Real-Time Physical Problem Solving Using Augmented Simulation,"Humans quickly solve tasks in novel systems with complex dynamics, without requiring much interaction. While deep reinforcement learning algorithms have achieved tremendous success in many complex tasks, these algorithms need a large number of samples to learn meaningful policies. In this paper, we present a task for navigating a marble to the center of a circular maze. While this system is very intuitive and easy for humans to solve, it can be very difficult and inefficient for standard reinforcement learning algorithms to learn meaningful policies. We present a model that learns to move a marble in the complex environment within minutes of interacting with the real system. Learning consists of initializing a physics engine with parameters estimated using data from the real system. The error in the physics engine is then corrected using Gaussian process regression, which is used to model the residual between real observations and physics engine simulations. The physics engine augmented with the residual model is then used to control the marble in the maze environment using a model-predictive feedback over a receding horizon. To the best of our knowledge, this is the first time that a hybrid model consisting of a full physics engine along with a statistical function approximator has been used to control a complex physical system in real-time using nonlinear model-predictive control (NMPC).
                           ","['Ota, Kei', 'Jha, Devesh', 'Romeres, Diego', 'Vanbaar, Jeroen', 'Smith, Kevin', 'Semitsu, Takayuki', 'Oiki, Tomohiro', 'Sullivan, Alan', 'Nikovski, Daniel', 'Tenenbaum, Joshua']","['Mitsubishi Electric', 'Mitsubishi Electric Research Laboratories', 'Mitsubishi Electric Research Laboratories', 'MERL', 'Massachusetts Institute of Technology', 'Mitsubishi Electric', 'Mitsubishi Electric', 'Mitsubishi Electric Research Lab', 'MERL', 'Massachusetts Institute of Technology']"
Dynamics Randomization Revisited: A Case Study for Quadrupedal Locomotion,"Understanding the gap between simulation and reality is critical for reinforcement learning with legged robots, which are largely trained in simulation. However, recent work has resulted in sometimes conflicting conclusions with regard to which factors are important for success, including the role of dynamics randomization. In this paper, we aim to provide clarity and understanding on the role of dynamics randomization in learning robust locomotion policies for the Laikago quadruped robot. Surprisingly, in contrast to prior work with the same robot model, we find that direct sim-to-real transfer is possible without dynamics randomization or on-robot adaptation schemes. We conduct extensive ablation studies in a sim-to-sim setting to understand the key issues underlying successful policy transfer, including other design decisions that can impact policy robustness. We further ground our conclusions via sim-to-real experiments with various gaits, speeds, and stepping frequencies.
                           ","['Xie, Zhaoming', 'Da, Xingye', 'van de Panne, Michiel', 'Babich, Buck', 'Garg, Animesh']","['University of British Columbia', 'University of Michigan, Ann Arbor', 'University of British Columbia', 'NVIDIA', 'University of Toronto']"
Context-Aware Safe Reinforcement Learning for Non-Stationary Environments,"Safety is a critical concern when deploying reinforcement learning agents for realistic tasks. Recently, safe reinforcement learning algorithms have been developed to optimize the agent's performance while avoiding violations of safety constraints. However, few studies have addressed the non-stationary disturbances in the environments, which may cause catastrophic outcomes. In this paper, we propose the context-aware safe reinforcement learning (CASRL) method, a meta-learning framework to realize safe adaptation in non-stationary environments. We use a probabilistic latent variable model to achieve fast inference of the posterior environment transition distribution given the context data. Safety constraints are then evaluated with uncertainty-aware trajectory sampling. Prior safety constraints are formulated with domain knowledge to improve safety during exploration. The algorithm is evaluated in realistic safety-critical environments with non-stationary disturbances. Results show that the proposed algorithm significantly outperforms existing baselines in terms of safety and robustness.
                           ","['Chen, Baiming', 'Liu, Zuxin', 'Zhu, Jiacheng', 'Xu, Mengdi', 'Ding, Wenhao', 'Li, Liang', 'Zhao, Ding']","['Tsinghua University', 'Carnegie Mellon University', 'Carnegie Mellon University', 'Carnegie Mellon University', 'Carnegie Mellon University', 'Tsinghua University', 'Carnegie Mellon University']"
Decision Making for Autonomous Driving Via Augmented Adversarial Inverse Reinforcement Learning,"Making decisions in complex driving environments is a challenging task for autonomous agents. Imitation learning methods have great potentials for achieving such a goal. Adversarial Inverse Reinforcement Learning (AIRL) is one of the state-of-art imitation learning methods that can learn both a behavioral policy and a reward function simultaneously, yet it is only demonstrated in simple and static environments where no interactions are introduced. In this paper, we improve and stabilize AIRL's performance by augmenting it with semantic rewards in the learning framework. Additionally, we adapt the augmented AIRL to a more practical and challenging decision-making task in a highly interactive environment in autonomous driving. The proposed method is compared with four baselines and evaluated by four performance metrics. Simulation results show that the augmented AIRL outperforms all the baseline methods, and its performance is comparable with that of the experts on all of the four metrics.
                           ","['Wang, Pin', 'Liu, Dapeng', 'Chen, Jiayu', 'Li, Hanhan', 'Chan, Ching-Yao']","['University of California, Berkeley', 'Chalmers University of Technology, Zenseact AB', 'Peking University', 'University of California, Berkeley', 'Univerisity of California, Berkeley']"
ReForm: A Robot Learning Sandbox for Deformable Linear Object Manipulation,"Recent advances in machine learning have triggered an enormous interest in using learning-based approaches for robot control and object manipulation. While the majority of existing algorithms are evaluated under the assumption that the involved bodies are rigid, a large number of practical applications contain deformable objects. In this work we focus on Deformable Linear Objects (DLOs) which can be used to model cables, tubes or wires. They are present in many applications such as manufacturing, agriculture and medicine. New methods in robotic manipulation research are often demonstrated in custom environments impeding reproducibility and comparisons of algorithms. We introduce ReForm, a simulation sandbox and a tool for benchmarking manipulation of DLOs. We offer six distinct environments representing important characteristics of deformable objects such as elasticity, plasticity or self-collisions and occlusions. A modular framework is used, enabling design parameters such as the end-effector degrees of freedom, reward function and type of observation. ReForm is a novel robot learning sandbox with which we intend to facilitate testing and reproducibility in manipulation research for DLOs.
                           ","['Laezza, Rita', 'Gieselmann, Robert', 'Pokorny, Florian T.', 'Karayiannidis, Yiannis']","['Chalmers University of Technology', 'KTH Royal Institute of Technology', 'KTH Royal Institute of Technology', 'Chalmers University of Technology & KTH Royal Institute of Techn']"
GoSafe: Globally Optimal Safe Robot Learning,"When learning policies for robotic systems from data, safety is a major concern, as violation of safety constraints may cause hardware damage. SafeOpt is an efficient Bayesian optimization (BO) algorithm that can learn policies while guaranteeing safety with high probability. However, its search space is limited to an initially given safe region. We extend this method by exploring outside the initial safe area while still guaranteeing safety with high probability. This is achieved by learning a set of initial conditions from which we can recover safely using a learned backup controller in case of a potential failure. We derive conditions for guaranteed convergence to the global optimum and validate GoSafe in hardware experiments.
                           ","['Baumann, Dominik', 'Marco, Alonso', 'Turchetta, Matteo', 'Trimpe, Sebastian']","['RWTH Aachen University', 'Max Planck Institute for Intelligent Systems', 'ETH Zurich', 'RWTH Aachen University']"
Learning Functionally Decomposed Hierarchies for Continuous Control Tasks with Path Planning,"We present HiDe, a novel hierarchical reinforcement learning architecture that successfully solves long horizon control tasks and generalizes to unseen test scenarios. Functional decomposition between planning and low-level control is achieved by explicitly separating the state-action spaces across the hierarchy, which allows the integration of task-relevant knowledge per layer. We propose an RL-based planner to efficiently leverage the information in the planning layer of the hierarchy, while the control layer learns a goal-conditioned control policy. The hierarchy is trained jointly but allows for the modular transfer of policy layers across hierarchies of different agents. We experimentally show that our method generalizes across unseen test environments and can scale to 3x horizon length compared to both learning and non-learning based methods. We evaluate on complex continuous control tasks with sparse rewards, including navigation and robot manipulation.
                           ","['Christen, Sammy', 'Jendele, Lukas', 'Aksan, Emre', 'Hilliges, Otmar']","['ETH Zurich', 'ETH Zurich', 'ETHZ', 'ETH Zurich']"
Super-Human Performance in Gran Turismo Sport Using Deep Reinforcement Learning,"Autonomous car racing is a major challenge in robotics. It raises fundamental problems for classical approaches such as planning minimum-time trajectories under uncertain dynamics and controlling the car at the limits of its handling. Besides, the requirement of minimizing the lap time, which is a sparse objective, and the difficulty of collecting training data from human experts have also hindered researchers from directly applying learning-based approaches to solve the problem. In the present work, we propose a learning-based system for autonomous car racing by leveraging a high-fidelity physical car simulation, a course-progress proxy reward, and deep reinforcement learning. We deploy our system in Gran Turismo Sport, a world-leading car simulator known for its realistic physics simulation of different race cars and tracks, which is even used to recruit human race car drivers. Our trained policy achieves autonomous racing performance that goes beyond what had been achieved so far by the built-in AI, and, at the same time, outperforms the fastest driver in a dataset of over 50,000 human players.
                           ","['Fuchs, Florian', 'Song, Yunlong', 'Kaufmann, Elia', 'Scaramuzza, Davide', 'Duerr, Peter']","['Sony', 'University of Zurich', 'University of Zurich', 'University of Zurich', 'Sony']"
Spatial Intention Maps for Multi-Agent Mobile Manipulation,"The ability to communicate intention enables decentralized multi-agent robots to collaborate while performing physical tasks. In this work, we present spatial intention maps, a new intention representation for multi-agent vision-based deep reinforcement learning that improves coordination between decentralized mobile manipulators. In this representation, each agent's intention is provided to other agents, and rendered into an overhead 2D map aligned with visual observations. This synergizes with the recently proposed spatial action maps framework, in which state and action representations are spatially aligned, providing inductive biases that encourage emergent cooperative behaviors requiring spatial coordination, such as passing objects to each other or avoiding collisions. Experiments across a variety of multi-agent environments, including heterogeneous robot teams with different abilities (lifting, pushing, or throwing), show that incorporating spatial intention maps improves performance for different mobile manipulation tasks while significantly enhancing cooperative behaviors.
                           ","['Wu, Jimmy', 'Sun, Xingyuan', 'Zeng, Andy', 'Song, Shuran', 'Rusinkiewicz, Szymon', 'Funkhouser, Thomas A.']","['Princeton University', 'Princeton University', 'Google', 'Columbia University', 'Princeton University', 'Princeton University']"
A Safe Hierarchical Planning Framework for Complex Driving Scenarios Based on Reinforcement Learning,"Autonomous vehicles need to handle various traffic conditions and make safe and efficient decisions and maneuvers. However, on the one hand, a single optimization/sampling-based motion planner cannot efficiently generate safe trajectories in real time, particularly when there are many interactive vehicles near by. On the other hand, end-to-end learning methods cannot assure the safety of the outcomes. To address this challenge, we propose a hierarchical behavior planning framework with a set of low-level safe controllers and a high-level reinforcement learning algorithm (H-CtRL) as a coordinator for the low-level controllers. Safety is guaranteed by the low-level optimization/sampling-based controllers, while the high-level reinforcement learning algorithm makes H-CtRL an adaptive and efficient behavior planner. To train and test our proposed algorithm, we built a simulator that can reproduce traffic scenes using real-world datasets. The proposed H-CtRL is proved to be effective in various realistic simulation scenarios, with satisfying performance in terms of both safety and efficiency.
                           ","['Li, Jinning', 'Sun, Liting', 'Chen, Jianyu', 'Tomizuka, Masayoshi', 'Zhan, Wei']","['University of California, Berkeley', 'University of California, Berkeley', 'Tsinghua University', 'University of California', 'Univeristy of California, Berkeley']"
Batch Exploration with Examples for Scalable Robotic Reinforcement Learning,"Learning from diverse offline datasets is a promising path towards learning general purpose robotic agents. However, a core challenge in this paradigm lies in collecting large amounts of meaningful data, while not depending on a human in the loop for data collection. One way to address this challenge is through task-agnostic exploration, where an agent attempts to explore without a task-specific reward function, and collect data that can be useful for any subsequent task. While these approaches have shown some promise in simple domains, they often struggle to explore the relevant regions of the state space in more challenging settings, such as vision-based robotic manipulation. This challenge stems from an objective that encourages exploring everything in a potentially vast state space. To mitigate this challenge, we propose to focus exploration on the important parts of the state space using weak human supervision. Concretely, we propose an exploration technique, Batch Exploration with Examples (BEE), that explores relevant regions of the state space, guided by a modest number of human-provided images of important states. We find that BEE is able to tackle challenging vision-based manipulation tasks both in simulation and on a real Franka Emika Panda robot, and observe that compared to task-agnostic and weakly-supervised exploration techniques, it (1) interacts more than twice as often with relevant objects, and (2) improves task performance when used with offline RL.
                           ","['Chen, Annie', 'Nam, HyunJi', 'Nair, Suraj', 'Finn, Chelsea']","['Stanford University', 'Stanford University', 'Stanford University', 'Stanford University']"
A Scavenger Hunt for Service Robots,"Creating robots that can perform general-purpose service tasks in a human-populated environment has been a longstanding grand challenge for AI and Robotics research. One particularly valuable skill that is relevant to a wide variety of tasks, is the ability to locate and retrieve objects upon request. 		 This paper models this skill as a Scavenger Hunt (SH) game, which we formulate as a variation of the NP-hard stochastic traveling purchaser problem. In this problem, the goal is to find a set of objects as quickly as possible, given probability distributions of where they may be found. 		 We investigate the performance of several solution algorithms for the SH problem, both in simulation and on a real mobile robot. We use Reinforcement Learning (RL) to train an agent to plan a minimal cost path, and show that the RL agent can outperform a range of heuristic algorithms, achieving near optimal performance. 		 In order to stimulate research on this problem, we introduce a publicly available software stack and associated website that enable users to upload scavenger hunts which robots can download, perform, and learn from to continually improve their performance on future hunts.
                           ","['Yedidsion, Harel', 'Suriadinata, Jennifer', 'Xu, Zifan', 'deBruyn, Stefan', 'Stone, Peter']","['University of Texas at Austin', 'University of Texas at Austin', 'University of Texas at Austin', 'The University of Texas at Austin', 'University of Texas at Austin']"
Reward Machines for Vision-Based Robotic Manipulation,"Deep Q learning (DQN) has enabled robot agents to accomplish vision based tasks that seemed out of reach. Despite recent success stories, there are still several sources of computational complexity that challenge the performance of DQN. We place the focus on vision manipulation tasks, where the correct action selection is often predicated on a small number of pixels. We observe that in some of these tasks DQN does not converge to the optimal Q function, and their values do not separate well optimal and suboptimal actions. In consequence, the policies obtained with DQN tend to be brittle and manifest a low success rate, especially in long horizon tasks. In this work we show the benefits of Reward Machines (RMs) for Deep Q learning (DQRM) in vision based robot manipulation tasks. Reward machines decompose the task at an abstract level, inform the agent about their current stage along task completion, and guide them via dense rewards. We show that RMs help DQN learn the optimal Q values in each abstract state. Their policies are more robust, manifest higher success rate, and are learned with fewer training steps compared with DQN. The benefits of RMs are more evident in long-horizon tasks, where we show that DQRM is able to learn good-quality policies with six times times fewer training steps than DQN, even when this is equipped with dense reward shaping.
                           ","['Camacho, Alberto', 'Varley, Jacob', 'Zeng, Andy', 'Jain, Deepali', 'Iscen, Atil', 'Kalashnikov, Dmitry']","['Google', 'Google', 'Google', 'Robotics at Google', 'Google', 'Google Brain']"
Tactile-RL for Insertion: Generalization to Objects of Unknown Geometry,"Object insertion is a classic contact-rich manipulation task. The task remains challenging, especially when considering general objects of unknown geometry, which significantly limits the ability to understand the contact configuration between the object and the environment. We study the problem of aligning the object and environment with a tactile-based feedback insertion policy. The insertion process is modeled as an episodic policy that iterates between insertion attempts followed by pose corrections. We explore different mechanisms to learn such a policy based on Reinforcement Learning. The key contribution of this paper is to demonstrate that it is possible to learn a tactile insertion policy that generalizes across different object geometries, and an ablation study of the key design choices for the learning agent: 1) the type of learning scheme: supervised vs. reinforcement learning; 2) the type of learning schedule: unguided vs. curriculum learning; 3) the type of sensing modality: force/torque vs. tactile; and 4) the type of tactile representation: tactile RGB vs. tactile flow. We show that the optimal configuration of the learning agent (RL + curriculum + tactile flow) exposed to 4 training objects yields an insertion policy that inserts 4 novel objects with over 85% success rate and within 3~4 attempts. Comparisons between F/T and tactile sensing show that while an F/T-based policy learns more efficiently, a tactile-based policy provides better generalization.
                           ","['Dong, Siyuan', 'Jha, Devesh', 'Romeres, Diego', 'Kim, Sangwoon', 'Nikovski, Daniel', 'Rodriguez, Alberto']","['MIT', 'Mitsubishi Electric Research Laboratories', 'Mitsubishi Electric Research Laboratories', 'Massachusetts Institute of Technology', 'MERL', 'Massachusetts Institute of Technology']"
Meta-Adversarial Inverse Reinforcement Learning for Decision-Making Tasks,"Learning from demonstrations has made great progress over the past few years. However, it is generally data hungry and task specific. In other words, it requires a large amount of data to train a decent model on a particular task, and the model often fails to generalize to new tasks that have a different distribution. In practice, demonstrations from new tasks will be continuously observed and the data might be unlabeled or only partially labeled. Therefore, it is desirable for the trained model to adapt to new tasks that have limited data samples available. In this work, we build an adaptable imitation learning model based on the integration of Meta-learning and Adversarial Inverse Reinforcement Learning(Meta-AIRL). We exploit the adversarial learning and inverse reinforcement learning mechanisms to learn policies and reward functions simultaneously from available training tasks and then adapt them to new tasks with the meta-learning framework. Simulation results show that the adapted policy trained with Meta-AIRL can effectively learn from limited number of demonstrations, and quickly reach the performance comparable to that of the experts on unseen tasks.
                           ","['Wang, Pin', 'Li, Hanhan', 'Chan, Ching-Yao']","['University of California, Berkeley', 'University of California, Berkeley', 'Univerisity of California, Berkeley']"
APPLR: Adaptive Planner Parameter Learning from Reinforcement,"Classical navigation systems typically operate using a fixed set of hand-picked parameters (e.g. maximum speed, sampling rate, inflation radius, etc.) and require heavy expert re-tuning in order to work in new environments. To mitigate this requirement, it has been proposed to learn parameters for different contexts in a new environment using human demonstrations collected via teleoperation. However, learning from human demonstration limits deployment to the training environment, and limits overall performance to that of a potentially-suboptimal demonstrator. In this paper, we introduce APPLR, Adaptive Planner Parameter Learning from Reinforcement, which allows existing navigation systems to adapt to new scenarios by using a parameter selection scheme discovered via reinforcement learning (RL) in a wide variety of simulation environments. We evaluate APPLR on a robot in both simulated and physical experiments, and show that it can outperform both a fixed set of hand-tuned parameters and also a dynamic parameter tuning scheme learned from human demonstration.
                           ","['Xu, Zifan', 'Dhamankar, Gauraang', 'Nair, Anirudh', 'Xiao, Xuesu', 'Warnell, Garrett', 'Liu, Bo', 'Wang, Zizhao', 'Stone, Peter']","['University of Texas at Austin', 'The University of Texas at Austin', 'The University of Texas at Austin', 'The University of Texas at Austin', 'U.S. Army Research Laboratory', 'University of Texas at Austin', 'University of Texas - Austin', 'University of Texas at Austin']"
Behavior Planning at Urban Intersections through Hierarchical Reinforcement Learning,"For autonomous vehicles, effective behavior planning is crucial to ensure safety of the ego car. In many urban scenarios, it is hard to create sufficiently general heuristic rules, especially for challenging scenarios that some new human drivers find difficult. In this work, we propose a behavior planning structure based on reinforcement learning (RL) which is capable of performing autonomous vehicle behavior planning with a hierarchical structure in simulated urban environments. Application of the hierarchical structure allows the various layers of the behavior planning system to be satisfied. Our algorithms can perform better than heuristic-rule-based methods for elective decisions such as when to turn left between vehicles approaching from the opposite direction or possible lane-change when approaching an intersection due to lane blockage or delay in front of the ego car. Such behavior is hard to evaluate as correct or incorrect, but for some aggressive expert human drivers handle such scenarios effectively and quickly. On the other hand, compared to traditional RL methods, our algorithm is more sample-efficient, due to the use of a hybrid reward mechanism and heuristic exploration during the training process. The results also show that the proposed method converges to an optimal policy faster than traditional RL methods.
                           ","['Qiao, Zhiqian', 'Schneider, Jeff', 'Dolan, John M.']","['Carnegie Mellon University', 'Carnegie Mellon University', 'Carnegie Mellon University']"
Scalable Learning of Safety Guarantees for Autonomous Systems Using Hamilton-Jacobi Reachability,"Autonomous systems like aircraft and assistive robots often operate in scenarios where guaranteeing safety is critical. Methods like Hamilton-Jacobi reachability can provide guaranteed safe sets and controllers for such systems. However, often these same scenarios have unknown or uncertain environments, system dynamics, or predictions of other agents. As the system is operating, it may learn new knowledge about these uncertainties and should therefore update its safety analysis accordingly. However, work to learn and update safety analysis is limited to small systems of about two dimensions due to the computational complexity of the analysis. In this paper we synthesize several techniques to speed up computation: decomposition, warm-starting, and adaptive grids. Using this new framework we can update safe sets by one or more orders of magnitude faster than prior work, making this technique practical for many realistic systems. We demonstrate our results on simulated 2D and 10D near-hover quadcopters operating in a windy environment.
                           ","['Herbert, Sylvia', 'Choi, Jason J.', 'Sanjeev, Suvansh', 'Gibson, Marsalis', 'Sreenath, Koushil', 'Tomlin, Claire']","['UC San Diego (UCSD)', 'University of California, Berkeley', 'Carnegie Mellon University', 'University of California - Berkeley', 'University of California, Berkeley', 'UC Berkeley']"
